"File","CurrExists","CurrLen","CurrMtime","LatestSnap","SnapBeforeTs","SnapBeforeId","SnapBeforeLen","NeedRestore","HistoryDir"
"d:\wp\waibao\gongcheng\backend\routers\projects.py","True","55115","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","9uc9.py","46652","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\3e523698"
"d:\wp\waibao\gongcheng\miniapp\utils\watermark.js","True","7186","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","iBvR.js","7186","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\3e615d3b"
"d:\wp\waibao\gongcheng\miniapp\app.json","True","810","2026-04-20 18:29:36","2026-04-10 19:38:25","2026-04-10 19:38:25","jj5W.json","767","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\411e6a9f"
"d:\wp\waibao\gongcheng\backend\services\image_compress.py","True","953","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:37","gVPq.py","953","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\44d2c0e0"
"d:\wp\waibao\gongcheng\miniapp\pages\detection\detection.json","True","90","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","ZBL1.json","90","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\47a5a9f0"
"d:\wp\waibao\gongcheng\miniapp\pages\detection\detection.wxml","True","5335","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:37","ug3u.wxml","5335","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\47aba548"
"d:\wp\waibao\gongcheng\miniapp\pages\template-select\template-select.js","True","7439","2026-04-10 10:49:08","2026-04-09 10:45:43","2026-04-09 10:45:43","dziE.js","4021","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\571127d"
"d:\wp\waibao\gongcheng\miniapp\pages\project\project.js","True","12764","2026-05-27 11:48:58","2026-05-27 11:48:58","2026-04-30 09:27:37","7ZEj.js","12096","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\5de0bb29"
"d:\wp\waibao\gongcheng\backend\check_tpl_data.py","True","1136","2026-05-26 11:23:39","2026-04-30 09:27:36","2026-04-30 09:27:36","i1q6.py","1136","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\61656927"
"d:\wp\waibao\gongcheng\backend\test_parse.py","True","399","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","Xh9v.py","399","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\6316e711"
"d:\wp\waibao\gongcheng\backend\services\excel_parser_wenti.py","True","2798","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","FZMz.py","2798","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\6415ed89"
"d:\wp\waibao\gongcheng\backend\models.py","True","4556","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","1KWs.py","4556","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\6490e6ed"
"d:\wp\waibao\gongcheng\miniapp\pages\project\project.wxml","True","13162","2026-05-27 11:48:58","2026-05-27 11:48:58","2026-04-30 09:27:37","wdbx.wxml","13162","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\68a49e20"
"d:\wp\waibao\gongcheng\miniapp\pages\project\project.wxss","True","6860","2026-04-20 18:29:36","2026-04-09 10:45:43","2026-04-09 10:45:43","Uh5S.wxss","5484","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\68a49ee1"
"d:\wp\waibao\gongcheng\miniapp\pages\template-select\template-select.json","True","56","2026-04-09 10:45:43","2026-04-09 10:45:43","2026-04-09 10:45:43","k2eE.json","56","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\6d76751c"
"d:\wp\waibao\gongcheng\miniapp\pages\template-select\template-select.wxml","True","4662","2026-04-10 10:48:36","2026-04-09 10:45:43","2026-04-09 10:45:43","VoQa.wxml","3253","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\6d7c7074"
"d:\wp\waibao\gongcheng\miniapp\pages\template-select\template-select.wxss","True","6113","2026-04-10 10:49:46","2026-04-09 10:45:43","2026-04-09 10:45:43","8pI7.wxss","4000","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\6d7c7135"
"d:\wp\waibao\gongcheng\miniapp\pages\index\index.wxml","True","4853","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-10 19:38:25","0rVg.wxml","3152","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\6fb308ae"
"d:\wp\waibao\gongcheng\miniapp\pages\index\index.wxss","True","6952","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-10 19:38:25","kZ3w.wxss","4334","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\6fb3096f"
"d:\wp\waibao\gongcheng\backend\check_rc.py","True","330","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","h57y.py","330","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\763403cf"
"d:\wp\waibao\gongcheng\backend\check_missing.py","True","1945","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","6kRi.py","1945","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\7905048"
"d:\wp\waibao\gongcheng\stop.bat","True","455","2026-05-20 14:37:22","2026-04-10 18:53:18","2026-04-10 18:53:18","ZLGF.bat","507","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\79b4ed2e"
"d:\wp\waibao\gongcheng\miniapp\utils\compress.js","True","2046","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","uWSs.js","2046","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\7b66802d"
"d:\wp\waibao\gongcheng\miniapp\pages\hazard\hazard.js","True","9092","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","T5Q3.js","9058","True","C:\Users\admin\AppData\Roaming\Cursor\User\History\7ba54a5d"
"d:\wp\waibao\gongcheng\code_rag.csv","True","69443","2026-05-26 11:23:39","2026-05-26 11:23:39","","","-1","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\7c30b563"
"d:\wp\waibao\gongcheng\miniapp\pages\detection\detection.js","True","5166","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:37","OhDJ.js","5166","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\7dcf6c51"
"d:\wp\waibao\gongcheng\miniapp\pages\camera\camera.js","True","11181","2026-05-27 11:48:58","2026-05-27 11:48:58","","","-1","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\8b191bd"
"d:\wp\waibao\gongcheng\backend\check_xlsx.py","True","590","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","BHUs.py","590","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\9d23a67"
"d:\wp\waibao\gongcheng\miniapp\utils\api.js","True","9574","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","TLPn.js","9574","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\aca25c5"
"d:\wp\waibao\gongcheng\backend\del_wenti.py","True","807","2026-05-26 11:23:39","2026-05-26 11:23:39","2026-04-30 09:27:36","tP5k.py","807","False","C:\Users\admin\AppData\Roaming\Cursor\User\History\c69e396"
